1;2;3;4;5;6;7;8;9;10;11;12;13;14
76;Альфа;754;Ж;02.11.1970;;;05.12.2005;13.08;21.69;21.69;198000.00;270858.00;Руководители
77;Альфа;771;М;07.07.1981;;;16.03.2009;9.8;11.15;11.15;0.00;243181.00;Руководители
78;Альфа;773;Ж;07.05.1981;;;15.12.2005;13.05;15.4;15.4;62500.00;72119.00;Специалисты и служащие
79;Альфа;801;М;21.01.1986;;;28.12.2005;13.01;13.01;13.01;112000.00;138748.00;Руководители
80;Альфа;810;М;09.11.1978;;;25.01.2006;12.94;12.94;12.94;161500.00;223034.00;Руководители
81;Альфа;812;М;18.02.1964;;;26.01.2006;12.94;34.49;34.49;214500.00;277110.00;Руководители
82;Альфа;820;Ж;12.02.1981;;;01.02.2006;12.92;12.92;12.92;101000.00;128308.00;Специалисты и служащие
83;Альфа;830;Ж;18.01.1981;;;28.02.2006;12.83;14.82;14.82;0.00;88361.00;Специалисты и служащие
84;Альфа;831;М;12.09.1980;;;01.03.2006;12.85;15.61;15.61;260000.00;362973.00;Руководители
85;Альфа;848;М;12.02.1972;;;16.03.2006;15.18;15.18;15.18;103500.00;213718.00;Специалисты и служащие
86;Альфа;850;Ж;24.01.1981;;;25.12.2006;12.03;12.03;12.03;81500.00;97697.00;Специалисты и служащие
87;Альфа;851;Ж;25.06.1972;;;20.03.2006;15.59;15.59;15.59;0.00;46355.00;Специалисты и служащие
88;Альфа;871;Ж;02.03.1977;;;24.04.2006;12.69;12.69;12.69;83000.00;117796.00;Специалисты и служащие
89;Альфа;878;Ж;19.10.1982;;;06.05.2006;12.65;12.65;12.65;89100.00;78674.00;Специалисты и служащие
90;Альфа;880;Ж;16.04.1977;;;15.05.2006;12.64;20.85;20.85;134500.00;127987.00;Руководители
91;Альфа;897;Ж;17.04.1980;;;26.06.2006;12.53;12.53;12.53;126000.00;182510.00;Руководители
92;Альфа;909;Ж;22.11.1976;;;03.07.2006;12.5;12.5;12.5;87000.00;126880.00;Специалисты и служащие
93;Альфа;919;Ж;18.09.1981;;;01.08.2006;12.42;19.33;19.33;86500.00;80866.00;Специалисты и служащие
94;Альфа;920;Ж;02.02.1977;;;01.08.2006;12.42;12.42;12.42;0.00;346097.00;Руководители
95;Альфа;937;Ж;01.12.1981;;;20.09.2006;12.28;12.28;12.28;115000.00;157446.00;Специалисты и служащие
96;Альфа;954;Ж;21.10.1970;;;20.11.2006;12.12;30.76;30.76;115000.00;166913.00;Специалисты и служащие
97;Альфа;964;Ж;10.06.1976;;;11.12.2009;14.69;21.8;21.8;94000.00;130871.00;Специалисты и служащие
98;Альфа;974;Ж;15.04.1974;;;04.12.2009;10.39;11.95;11.95;94000.00;128880.00;Специалисты и служащие
99;Альфа;977;Ж;06.12.1981;;;05.02.2007;11.91;15.5;15.5;0.00;102108.00;Специалисты и служащие
100;Альфа;1026;М;06.04.1968;;;16.03.2007;11.79;12.73;12.73;115000.00;143564.00;Руководители
101;Альфа;1032;Ж;25.07.1978;;;16.04.2007;11.71;11.71;11.71;60500.00;63194.00;Специалисты и служащие
102;Альфа;1037;М;07.02.1984;;;18.04.2007;11.71;11.71;11.71;158000.00;316565.00;Руководители
103;Альфа;1049;Ж;08.07.1973;;;03.05.2007;11.66;11.66;11.66;167000.00;214766.00;Руководители
104;Альфа;1058;Ж;19.01.1981;;;30.05.2007;11.59;11.59;11.59;157300.00;233842.00;Специалисты и служащие
105;Альфа;1066;Ж;09.01.1971;;;07.06.2007;11.57;12.92;12.92;95500.00;113187.00;Специалисты и служащие
106;Альфа;1076;М;19.05.1975;;;21.06.2007;11.54;21.19;21.19;82000.00;112710.00;Специалисты и служащие
107;Альфа;1091;М;04.07.1980;;;09.07.2007;11.48;16.18;16.18;96000.00;133930.00;Специалисты и служащие
108;Альфа;1108;Ж;27.03.1965;;;31.07.2007;11.43;11.43;11.43;95000.00;121191.00;Специалисты и служащие
109;Альфа;1122;Ж;28.05.1978;;;06.08.2007;11.41;11.41;11.41;125000.00;163946.00;Специалисты и служащие
110;Альфа;1123;М;09.04.1960;;;22.08.2007;11.36;11.36;11.36;142500.00;245330.00;Руководители
111;Альфа;1124;Ж;19.02.1983;;;18.07.2007;11.46;13.31;13.31;73000.00;103128.00;Специалисты и служащие
112;Альфа;1127;Ж;18.01.1971;;;10.03.2015;4.54;11.38;11.38;116600.00;159230.00;Специалисты и служащие
113;Альфа;1140;Ж;24.06.1984;;;27.08.2007;11.34;11.34;11.34;72500.00;59699.00;Специалисты и служащие
114;Альфа;1142;Ж;06.06.1977;;;03.09.2007;11.33;12.5;12.5;78500.00;95281.00;Специалисты и служащие
115;Альфа;1153;Ж;02.11.1967;;;18.09.2007;11.29;20.78;20.78;87000.00;117985.00;Специалисты и служащие
116;Альфа;1154;М;22.04.1969;;;19.09.2007;13.73;23.71;23.71;110000.00;161781.00;Специалисты и служащие
117;Альфа;1157;Ж;02.06.1981;;;09.01.2017;8.98;10.54;10.54;0.00;168684.00;Специалисты и служащие
118;Альфа;1174;М;27.11.1980;;;02.10.2007;11.25;13.33;13.33;154000.00;212372.00;Руководители
119;Альфа;1175;Ж;16.11.1973;;;15.10.2007;11.22;11.22;11.22;113000.00;139683.00;Специалисты и служащие
120;Альфа;1185;М;14.09.1974;;;24.10.2007;11.19;11.19;11.19;103000.00;138385.00;Специалисты и служащие
121;Альфа;1191;М;13.11.1961;;;16.10.2007;12.75;17.77;17.77;107000.00;199527.00;Специалисты и служащие
122;Альфа;1196;Ж;07.05.1979;;;25.10.2007;12.24;12.24;12.24;100600.00;163628.00;Специалисты и служащие
123;Альфа;1200;М;15.09.1971;;;29.10.2007;11.18;22.37;22.37;152000.00;207412.00;Руководители
124;Альфа;1211;М;13.06.1969;;;09.11.2016;2.15;23.26;23.26;0.00;257439.00;Руководители
125;Альфа;1213;М;09.09.1973;;;25.10.2016;11.14;11.14;11.14;121000.00;152845.00;Специалисты и служащие
126;Альфа;1214;М;22.06.1983;;;15.11.2007;11.13;11.13;11.13;129500.00;174349.00;Специалисты и служащие
127;Альфа;1220;М;20.12.1975;;;19.11.2007;11.12;11.12;11.12;91000.00;122259.00;Специалисты и служащие
128;Альфа;1223;М;17.12.1979;;;22.10.2007;11.2;11.2;11.2;91000.00;126848.00;Специалисты и служащие
129;Альфа;1235;Ж;03.03.1982;;;05.12.2007;11.08;13.77;13.77;64700.00;73263.00;Специалисты и служащие
130;Альфа;1241;Ж;11.08.1972;;;18.12.2007;11.04;16.94;16.94;78000.00;113185.00;Специалисты и служащие
131;Альфа;1246;Ж;24.05.1977;;;15.06.2010;11.03;11.03;11.03;85000.00;113241.00;Специалисты и служащие
132;Альфа;1250;Ж;17.03.1984;;;27.12.2007;11.01;12.26;12.26;66000.00;84591.00;Специалисты и служащие
133;Альфа;1255;М;07.09.1971;;;15.01.2008;10.97;12.77;12.77;148500.00;194536.00;Руководители
134;Альфа;1260;Ж;13.07.1980;;;18.01.2008;10.96;10.96;10.96;118000.00;142993.00;Руководители
135;Альфа;1271;Ж;21.07.1986;;;28.01.2008;10.93;10.93;10.93;87000.00;119150.00;Специалисты и служащие
136;Альфа;1279;Ж;09.02.1976;;;05.02.2008;10.91;10.91;10.91;50000.00;57540.00;Специалисты и служащие
137;Альфа;1287;Ж;23.02.1985;;;28.02.2008;10.84;10.84;10.84;0.00;64838.00;Специалисты и служащие
138;Альфа;1298;М;21.08.1985;;;28.04.2008;10.8;10.8;10.8;123000.00;147559.00;Руководители
139;Альфа;1306;Ж;05.12.1982;;;01.04.2008;12.43;12.43;12.43;0.00;271403.00;Руководители
140;Альфа;1307;М;15.09.1982;;;01.04.2008;10.76;10.76;10.76;152000.00;189211.00;Руководители
141;Альфа;1319;М;17.07.1984;;;02.04.2008;10.75;10.75;10.75;81500.00;108514.00;Специалисты и служащие
142;Альфа;1323;Ж;06.09.1983;;;15.05.2008;10.63;13.24;13.24;118000.00;155848.00;Специалисты и служащие
143;Альфа;1325;Ж;04.01.1964;;;25.08.2008;10.36;10.36;10.36;92500.00;128860.00;Специалисты и служащие
144;Альфа;1340;Ж;16.08.1983;;;04.08.2008;10.42;10.42;10.42;72500.00;45704.00;Специалисты и служащие
145;Альфа;1342;М;18.10.1984;;;06.06.2008;10.57;11.73;11.73;194000.00;330714.00;Руководители
146;Альфа;1353;Ж;22.03.1988;;;02.07.2008;10.51;10.51;10.51;114000.00;92208.00;Специалисты и служащие
147;Альфа;1357;Ж;12.05.1977;;;30.06.2008;10.51;10.51;10.51;0.00;80084.00;Специалисты и служащие
148;Альфа;1359;Ж;24.11.1977;;;01.07.2008;10.49;22.6;22.6;102700.00;116852.00;Специалисты и служащие
149;Альфа;1375;М;03.11.1971;;;01.07.2008;10.51;20.27;20.27;84000.00;119915.00;Специалисты и служащие
150;Альфа;1376;Ж;14.11.1958;срочник;;17.05.2017;10.51;17.76;17.76;114000.00;140927.00;Специалисты и служащие
151;Альфа;1381;Ж;02.10.1949;;;14.07.2008;10.47;25.62;25.62;130000.00;177646.00;Руководители
152;Альфа;1382;М;27.02.1982;;;14.07.2008;10.47;10.47;10.47;112600.00;137515.00;Специалисты и служащие
153;Альфа;1387;Ж;03.08.1968;;;21.07.2008;10.45;19.99;19.99;113500.00;163961.00;Специалисты и служащие
154;Альфа;1390;Ж;03.03.1982;;;22.07.2008;10.45;10.45;10.45;99500.00;132494.00;Специалисты и служащие
155;Альфа;1394;Ж;05.05.1969;;;24.07.2008;10.44;10.44;10.44;69000.00;91696.00;Специалисты и служащие
156;Альфа;1398;Ж;04.03.1985;;;28.07.2008;10.44;10.44;10.44;112000.00;132529.00;Специалисты и служащие
157;Альфа;1402;Ж;30.07.1990;;;18.06.2012;6.55;6.55;6.55;0.00;123207.00;Специалисты и служащие
158;Альфа;1404;Ж;15.12.1968;;;01.08.2008;10.42;25.4;25.4;97400.00;131890.00;Специалисты и служащие
159;Альфа;1410;Ж;29.09.1984;;;28.07.2008;10.44;10.44;10.44;60000.00;78767.00;Специалисты и служащие
160;Альфа;1445;Ж;13.02.1983;;;23.01.2013;8.52;8.85;8.85;99000.00;124288.00;Специалисты и служащие
161;Альфа;1447;Ж;15.11.1968;;;17.09.2008;10.29;10.29;10.29;158000.00;195107.00;Руководители
